name_wt,statuses_count,followers_count,friends_count,favourites_count,listed_count,label
0.2,2177,208,332,265,1,0
0.4,2660,330,485,3972,5,0
0.375,1254,166,177,1185,0,0
0.17647058823529413,202968,2248,981,60304,101,0
0.125,82,21,79,5,0,0
1.0,12915,641,1066,1568,7,0
0.2222222222222222,13676,1042,2000,19012,7,0
1.0,61294,561,118,590,4,0
0.9230769230769231,4854,337,256,1407,4,0
0.16666666666666666,2408,421,338,2227,5,0
0.23076923076923078,24581,335,276,10570,4,0
0.65,2132,232,225,101,56,0
0.0,10354,1948,2096,3,88,0
0.2,18484,271,216,8487,0,0
0.75,88,16,74,397,0,0
1.0,2418,1190,355,1092,11,0
0.2857142857142857,10839,7842,7836,8329,34,0
0.15,4774,552,787,4029,11,0
0.5333333333333333,36,223,166,864,2,0
0.14285714285714285,9412,303,325,7304,2,0
0.25,55052,1978,197,7274,7,0
0.23076923076923078,69809,1605,969,12583,2,0
0.6,7207,212,150,1877,0,0
0.0,16677,1206,49,7008,6,0
1.0,24163,435,320,676,1,0
1.0,45750,7644,359,54926,46,0
0.5,1203,182,117,136,0,0
0.5,274989,9815,2190,40114,38,0
1.0,11334,349,348,2465,4,0
0.2,72102,726,28,165,23,0
0.2,15525,879,667,153,5,0
0.25,31248,3205,2377,3650,282,0
0.0,105025,543,327,49956,1,0
0.25,54,10,91,14,0,0
0.5,371,90,147,363,0,0
0.5625,2582,223,495,1668,3,0
0.2,427,75,77,279,0,0
0.5263157894736842,416,25,28,2,1,0
0.5,34627,661,498,15474,1,0
0.4,25098,832,644,6107,1,0
0.0,283536,7785,424,1157,217,0
0.5,13634,697,103,5258,30,0
0.7333333333333333,10339,385,200,72,7,0
0.4375,19390,385,252,11,1,0
0.9166666666666666,1960,4910,1675,1043,22,0
0.36363636363636365,2766,79,196,587,0,0
0.15,3114,28,32,1,0,0
1.0,4236,249,278,1787,0,0
0.4117647058823529,33298,698,600,4037,5,0
1.0,378,173,312,27,0,0
0.2,46272,943,750,9355,3,0
0.5,1043,81,77,2192,0,0
0.0,5194,247,177,3173,0,0
0.9230769230769231,3547,1651,1754,1607,4,0
0.5,6127,1233,1166,97,10,0
0.4,3450,159,124,5059,5,0
0.1875,8102,241,273,1067,0,0
0.1875,51961,1401,1335,48065,9,0
0.0,23261,589,396,52,0,0
0.4444444444444444,14187,358,967,280,8,0
0.2857142857142857,169053,1193,351,3439,25,0
0.8666666666666667,3566,136,116,1330,0,0
0.3333333333333333,2366,157,388,287,3,0
0.5789473684210527,639,120,64,407,1,0
0.5,20291,1114,1292,11382,14,0
0.3333333333333333,57768,348,389,13804,4,0
0.9230769230769231,844,93,385,27,0,0
0.5,7588,235,112,10979,0,0
0.14285714285714285,20388,399,402,529,3,0
0.3076923076923077,2287,71,56,295,3,0
0.5789473684210527,42077,763,97,922,18,0
1.0,16948,244,246,5500,3,0
0.42857142857142855,4655,281,421,2466,1,0
0.2,23875,2134,654,241,8,0
0.0,14537,865,250,0,20,0
0.8333333333333334,8877,400,173,5293,2,0
1.0,5057,625,566,919,1,0
0.3333333333333333,7135,202,300,299,1,0
0.0,346,451,403,1875,0,0
1.0,3629,269,187,1229,0,0
0.5333333333333333,18745,553,1856,81,8,0
0.8571428571428571,9240,170,143,4567,2,0
0.7692307692307693,8318,884,250,137,10,0
0.6666666666666666,1238,192,175,624,0,0
0.625,2182,254,292,620,1,0
0.8,9156,285,205,4088,1,0
0.75,911,53,272,1177,1,0
0.23076923076923078,38417,344,335,23322,4,0
1.0,13572,701,708,6970,0,0
0.9090909090909091,1523,87,195,66,3,0
0.0,2055,142,129,489,0,0
0.5,24986,650,348,4907,1,0
0.3684210526315789,21105,415,481,248,1,0
1.0,19515,689,470,2463,26,0
0.4,1000,108,155,1326,0,0
0.06666666666666667,2310,651,744,941,4,0
0.35714285714285715,1182,220,1040,1388,7,0
0.10526315789473684,615,2544,262,979,4,0
0.5,21207,631,213,408,12,0
0.8333333333333334,37989,451,268,3140,9,0
0.5333333333333333,11452,389,297,5456,0,0
1.0,43447,1068,822,8097,2,0
0.25,17447,1953,1199,16715,15,0
0.0,15809,385,353,4688,5,0
0.4166666666666667,3559,99,105,663,0,0
0.375,4059,599,585,105,8,0
0.625,87311,1878,1882,330,17,0
0.9,13635,665,1168,4724,16,0
0.875,23799,462,272,4116,10,0
0.36363636363636365,4282,32,114,6,3,0
0.6666666666666666,36093,422,326,12075,7,0
0.9230769230769231,3028,1915,1804,1441,72,0
0.9285714285714286,69,100,214,170,1,0
0.9230769230769231,157,23,102,23,0,0
0.21052631578947367,6747,592,254,7636,3,0
0.5,5414,486,305,2526,1,0
0.2,5051,167,351,80,4,0
0.5454545454545454,29146,1347,736,2728,15,0
0.7777777777777778,9550,500,416,9175,4,0
0.375,718,118,224,180,2,0
0.16666666666666666,5939,720,727,420,6,0
1.0,1271,14,38,62,0,0
0.8,28255,1439,755,1983,3,0
0.16666666666666666,3259,175,116,1297,0,0
1.0,15595,1280,1985,3786,5,0
0.9090909090909091,549,508,892,401,15,0
0.8888888888888888,2583,280,337,4537,0,0
0.23529411764705882,44376,790,159,5517,18,0
0.0,108575,15305,1543,11161,132,0
0.9333333333333333,1107,121,231,572,0,0
1.0,2713,61,52,1032,1,0
0.4117647058823529,811,34,351,656,0,0
0.2777777777777778,5290,298,243,654,3,0
0.2,82094,7689,207,30086,229,0
0.9230769230769231,133,72,460,146,0,0
0.9,10221,458,395,1813,3,0
0.9333333333333333,50540,3491,3296,19086,72,0
0.3125,95069,1045,350,49312,20,0
0.9166666666666666,24117,788,405,6725,16,0
0.35714285714285715,1303,147,138,71,4,0
0.42857142857142855,80,3,50,27,0,0
0.0,8234,536,397,2684,0,0
0.3,28655,462,290,413,15,0
0.26666666666666666,9561,417,258,1130,0,0
0.2,44535,314,290,16169,1,0
0.47058823529411764,496,62,95,70,0,0
0.9375,325,101,230,20,0,0
1.0,6877,247,838,1915,3,0
0.75,2647,604,296,170,0,0
0.5,3719,220,198,255,0,0
1.0,6629,286,127,1110,2,0
0.9090909090909091,894,55,65,43,1,0
0.2727272727272727,31414,344,318,123,6,0
0.0,10171,369,259,3192,0,0
1.0,11133,6897,3735,22522,1,0
0.5384615384615384,14376,363,306,1753,1,0
0.5,30812,252,234,45,7,0
0.8333333333333334,1311,169,342,347,1,0
0.3076923076923077,177,41,154,39,0,0
0.2,17348,321,231,7932,1,0
0.5,176950,35379,587,241,485,0
0.6666666666666666,265,26,107,442,0,0
0.6428571428571429,2127,229,262,510,0,0
0.6,41271,15171,210,7721,174,0
0.9230769230769231,1876,334,912,587,0,0
1.0,1197,28,98,223,0,0
0.13333333333333333,1318,166,233,615,0,0
0.23076923076923078,13209,204,115,3414,4,0
1.0,84124,1575,1601,9220,21,0
0.35,1410,844,1416,111,24,0
0.45454545454545453,85,74,121,307,0,0
0.5,25279,495,628,432,16,0
0.2,462,370,548,36,1,0
0.21428571428571427,24063,662,208,56035,19,0
0.9333333333333333,2449,148,134,495,0,0
0.0,19678,423,261,10626,4,0
0.0,9510,1087,1096,4279,0,0
0.0,4353,157,168,2083,0,0
0.0,2630,76,158,632,1,0
0.2222222222222222,249449,5169,3418,14341,218,0
0.4,24457,841,482,7231,1,0
0.4,32407,2418,2465,7282,90,0
1.0,79,8,24,23,0,0
0.7368421052631579,1515,3656,238,24,14,0
0.3,361,60,223,99,0,0
0.3333333333333333,2689,380,155,27,0,0
0.5,30259,1767,120,6774,14,0
0.2222222222222222,8058,672,717,610,4,0
0.25,1382,520,1302,1143,1,0
0.0,26478,552,427,2975,0,0
0.35714285714285715,5352,384,187,877,2,0
0.2727272727272727,52423,1940,305,14166,180,0
0.9230769230769231,242,187,152,86,2,0
0.55,2964,165,647,776,5,0
0.9,1975,527,1778,196,15,0
0.5333333333333333,125,296,435,1071,0,0
0.9090909090909091,160,165,574,31,1,0
0.9166666666666666,10423,169,313,6879,1,0
0.65,3517,274,635,1126,7,0
0.8,1926,341,294,1451,0,0
0.0,2391,148,258,943,0,0
0.3333333333333333,776,196,134,379,0,0
1.0,60715,616,604,3281,6,0
1.0,2178,93,210,88,1,0
0.9285714285714286,6641,1471,1977,7841,52,0
1.0,1296,351,422,682,0,0
0.9285714285714286,500,108,151,2027,0,0
1.0,162921,1249,1724,1794,56,0
0.0,23663,473,457,2988,2,0
0.5,94113,1357,520,91458,17,0
0.2,7811,244,242,5385,3,0
0.3333333333333333,7051,189,206,2449,1,0
0.7692307692307693,5210,641,426,1678,1,0
1.0,711,49,205,74,0,0
0.2222222222222222,24257,510,322,8884,2,0
0.5833333333333334,45,41,219,76,0,0
0.2222222222222222,80156,1962,1094,1873,7,0
1.0,2685,167,156,1888,1,0
0.8888888888888888,4952,22,301,150,0,0
0.1111111111111111,160869,1592,1303,631,19,0
0.5,13,13,51,20,1,0
0.9166666666666666,61850,836,688,872,1,0
0.3157894736842105,78397,1712,1009,4558,10,0
0.06666666666666667,5297,1331,1943,63,44,0
0.2727272727272727,4156,1242,1999,59,3,0
0.3333333333333333,22364,1236,624,16114,9,0
0.6666666666666666,23056,433,288,27152,0,0
0.2,12230,1203,2001,5542,4,0
1.0,26559,326,264,7777,0,0
0.23076923076923078,23645,1008,1756,897,66,0
0.9375,94769,1477,908,126,1,0
0.2,37857,372,547,663,6,0
0.7777777777777778,5279,244,275,707,1,0
0.5454545454545454,1002,302,275,1075,2,0
0.9090909090909091,104,122,435,60,1,0
0.9230769230769231,2348,193,191,387,0,0
0.18181818181818182,32443,491,208,5631,1,0
0.6875,4265,171,129,1838,0,0
0.3333333333333333,2117,370,330,4254,1,0
1.0,14524,349,333,642,1,0
1.0,1049,53,186,439,0,0
0.8461538461538461,10383,374,372,137,15,0
0.9166666666666666,125,23,84,18,0,0
0.7692307692307693,306,330,336,43,7,0
0.75,16064,41442,4967,3079,80,0
0.5,6509,315,317,4396,3,0
0.5,19697,746,237,66,25,0
0.35714285714285715,1916,221,265,2412,1,0
0.6666666666666666,8158,158,347,5043,2,0
0.0,107367,2856,265,14885,24,0
0.9285714285714286,62631,52287,209,19,1342,0
1.0,48397,1824,758,12787,8,0
0.2,15449,572,481,4311,0,0
0.2,22761,4056,101,10680,3,0
0.15,3085,183,221,3183,2,0
0.6,78,56,216,53,1,0
0.08333333333333333,4416,168,212,5707,0,0
0.9166666666666666,11770,1577,678,634,47,0
0.0,40408,308,149,1446,0,0
0.5263157894736842,54344,27856,756,291,605,0
0.5384615384615384,3078,309,421,13980,0,0
0.3333333333333333,14018,1155,809,4376,3,0
0.4,3833,135,327,2951,2,0
1.0,487,195,863,147,1,0
0.9090909090909091,2501,118,109,218,0,0
0.4166666666666667,2984,1450,1798,316,41,0
0.3333333333333333,14879,1080,1996,10479,3,0
